total 71
 1 GROSS_MARGIN           CAS       2025 MONEY            13.9 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利率(%) 21.9 13.9 增加8.0个百分点
16 GROSS_PROFIT           CAS       2025 MONEY              -3 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | (3) 毛利变动原因说明：主要是由于本期销售数量增加、平均单价上升及产品组合变动所致。
17 GROSS_PROFIT           CAS       2025 MONEY         3653150 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利	7,087,140	3,653,150	94.0
18 GROSS_PROFIT           CAS       2025 MONEY         7087140 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利	7,087,140	3,653,150	94.0
19 GROSS_PROFIT           CAS       2025 MONEY            94.0 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 毛利	7,087,140	3,653,150	94.0
20 PROFIT_ATTRIBUTABLE_TO CAS       2024 MONEY         -180788 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 联营企业股权被动稀释（注）	-180,788	1,523,489	-	-
21 PROFIT_ATTRIBUTABLE_TO CAS       2024 MONEY         3698665 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 按中国企业会计准则	3,698,665	4,822,814	148,190,613	142,475,834
22 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         -145549 | MATERIAL_SMIC_2025_Q3_A_SHARE_REPO | 联营企业股权被动稀释(注)	-145,549	-137,639	-	-
23 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         1517205 | MATERIAL_SMIC_2025_Q3_A_SHARE_REPO | 按中国企业会计准则	1,517,205	3,818,071	151,179,893	148,190,613
24 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         1646285 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 归属于上市公司股东的净利润	2,300,866	1,646,285	39.8
25 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         2300866 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 归属于上市公司股东的净利润	2,300,866	1,646,285	39.8
26 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         2300866 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 按中国企业会计准则	2,300,866	1,646,285	150,814,383	148,190,613
27 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY         2300866 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 按中国企业会计准则	2,300,866	1,646,285	150,814,383	148,190,613
28 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY            39.8 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 归属于上市公司股东的净利润	2,300,866	1,646,285	39.8
29 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY            7910 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 联营企业股权被动稀释（注）	7,910	32,659	-	-
30 PROFIT_ATTRIBUTABLE_TO CAS       2025 MONEY            7910 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 联营企业股权被动稀释（注）	7,910	32,659	-	-
31 PROFIT_ATTRIBUTABLE_TO IFRS      2024 MONEY         3517877 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 按国际财务报告准则	3,517,877	6,346,303	148,190,613	142,475,834
32 PROFIT_ATTRIBUTABLE_TO IFRS      2025 MONEY         1371656 | MATERIAL_SMIC_2025_Q3_A_SHARE_REPO | 按国际财务报告准则	1,371,656	3,680,432	151,179,893	148,190,613
33 PROFIT_ATTRIBUTABLE_TO IFRS      2025 MONEY         2308776 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 按国际财务报告准则	2,308,776	1,678,944	150,814,383	148,190,613
34 PROFIT_ATTRIBUTABLE_TO IFRS      2025 MONEY         2308776 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 按国际财务报告准则	2,308,776	1,678,944	150,814,383	148,190,613
35 PROFIT_FROM_OPERATIONS CAS       2025 MONEY         3906690 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 370,466,534	208,996,111	32,092,142	3,906,690	3,619,475
36 REVENUE                CAS       2023 MONEY          -65467 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-65,467	第十节七、74和75
37 REVENUE                CAS       2023 MONEY          -65467 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -65,467 第十节七、74和75
38 REVENUE                CAS       2023 MONEY              74 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-65,467	第十节七、74和75
39 REVENUE                CAS       2023 MONEY              74 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -65,467 第十节七、74和75
40 REVENUE                CAS       2023 MONEY              75 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-65,467	第十节七、74和75
41 REVENUE                CAS       2023 MONEY              75 | MATERIAL_SMIC_2023_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -65,467 第十节七、74和75
42 REVENUE                CAS       2024 MONEY           -6625 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-6,625	第十节七、74和75
43 REVENUE                CAS       2024 MONEY           -6625 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -6,625 第十节七、74和75
44 REVENUE                CAS       2024 MONEY              74 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-6,625	第十节七、74和75
45 REVENUE                CAS       2024 MONEY              74 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -6,625 第十节七、74和75
46 REVENUE                CAS       2024 MONEY              75 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-6,625	第十节七、74和75
47 REVENUE                CAS       2024 MONEY              75 | MATERIAL_SMIC_2024_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出 -6,625 第十节七、74和75
48 REVENUE                CAS       2025 MONEY              -1 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | (1) 营业收入变动原因说明：主要是由于本期晶圆销售数量增加及平均售价上升所致。销售晶圆
49 REVENUE                CAS       2025 MONEY         -518163 | MATERIAL_SMIC_2025_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-518,163	第九节七、74和75
50 REVENUE                CAS       2025 MONEY              -6 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | (6) 财务费用变动原因说明：主要是由于本期利息收入减少和利息支出增加所致。
51 REVENUE                CAS       2025 MONEY           -6529 | MATERIAL_SMIC_2025_Q3_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	3,447	-6,529	/
52 REVENUE                CAS       2025 MONEY           -9976 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
53 REVENUE                CAS       2025 MONEY           -9976 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
54 REVENUE                CAS       2025 MONEY           -9976 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出 -9,976 第七节七、74和75
55 REVENUE                CAS       2025 MONEY            23.1 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
56 REVENUE                CAS       2025 MONEY            23.1 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
57 REVENUE                CAS       2025 MONEY        26269310 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
58 REVENUE                CAS       2025 MONEY        26269310 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
59 REVENUE                CAS       2025 MONEY        32092142 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 370,466,534	208,996,111	32,092,142	3,906,690	3,619,475
60 REVENUE                CAS       2025 MONEY        32348049 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
61 REVENUE                CAS       2025 MONEY        32348049 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 营业收入	32,348,049	26,269,310	23.1
62 REVENUE                CAS       2025 MONEY            3447 | MATERIAL_SMIC_2025_Q3_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	3,447	-6,529	/
63 REVENUE                CAS       2025 MONEY            6171 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 平均售价（销售晶圆收入除以销售晶圆总数）本期为人民币6,482元，上年同期为人民币6,171
64 REVENUE                CAS       2025 MONEY              74 | MATERIAL_SMIC_2025_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-518,163	第九节七、74和75
65 REVENUE                CAS       2025 MONEY              74 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
66 REVENUE                CAS       2025 MONEY              74 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
67 REVENUE                CAS       2025 MONEY              74 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出 -9,976 第七节七、74和75
68 REVENUE                CAS       2025 MONEY              75 | MATERIAL_SMIC_2025_A_SHARE_ANNUAL_ | 除上述各项之外的其他营业外收入和支出	-518,163	第九节七、74和75
69 REVENUE                CAS       2025 MONEY              75 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
70 REVENUE                CAS       2025 MONEY              75 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出	-9,976	第七节七、74和75
71 REVENUE                CAS       2025 MONEY              75 | MATERIAL_SMIC_2025_H1_A_SHARE_REPO | 除上述各项之外的其他营业外收入和支出 -9,976 第七节七、74和75
